rate	timestamp
457.22	2024-05-08 18:25:02
458.15	2024-05-08 18:30:02
458.81	2024-05-08 18:35:06
459.79	2024-05-08 18:40:03
459.28	2024-05-08 18:45:07
458.64	2024-05-08 18:50:02
458.31	2024-05-08 18:55:02
458.92	2024-05-08 19:00:02
459.03	2024-05-08 19:05:07
458.80	2024-05-08 19:10:07
458.07	2024-05-08 19:15:02
457.12	2024-05-08 19:20:02
457.01	2024-05-08 19:25:02
456.21	2024-05-08 19:30:02
455.88	2024-05-08 19:35:03
455.88	2024-05-08 19:40:02
455.68	2024-05-08 19:45:02
455.68	2024-05-08 19:50:03
455.82	2024-05-08 19:55:02
455.74	2024-05-08 20:00:02
454.69	2024-05-08 20:05:02
454.06	2024-05-08 20:10:02
455.52	2024-05-08 20:15:02
456.66	2024-05-08 20:20:02
456.66	2024-05-08 20:25:03
454.76	2024-05-08 20:30:02
453.25	2024-05-08 20:35:02
453.22	2024-05-08 20:40:03
451.55	2024-05-08 20:45:02
451.48	2024-05-08 20:50:01
451.54	2024-05-08 20:55:03
455.56	2024-05-08 21:00:01
455.72	2024-05-08 21:05:02
456.39	2024-05-08 21:10:02
456.57	2024-05-08 21:15:02
456.01	2024-05-08 21:20:02
459.20	2024-05-08 21:25:02
459.29	2024-05-08 21:30:02
459.69	2024-05-08 21:35:02
459.70	2024-05-08 21:40:02
459.08	2024-05-08 21:45:02
460.90	2024-05-08 21:50:02
460.90	2024-05-08 21:55:02
463.70	2024-05-08 22:00:02
464.09	2024-05-08 22:05:01
463.34	2024-05-08 22:10:02
463.21	2024-05-08 22:15:02
462.96	2024-05-08 22:20:02
462.04	2024-05-08 22:25:03
463.09	2024-05-08 22:30:06
462.84	2024-05-08 22:35:02
462.60	2024-05-08 22:40:02
464.51	2024-05-08 22:45:02
465.54	2024-05-08 22:50:04
465.99	2024-05-08 22:55:03
465.03	2024-05-08 23:00:03
464.32	2024-05-08 23:05:01
463.90	2024-05-08 23:10:02
464.14	2024-05-08 23:15:03
461.30	2024-05-08 23:20:02
458.75	2024-05-08 23:25:02
458.75	2024-05-08 23:30:02
459.12	2024-05-08 23:35:02
459.77	2024-05-08 23:40:02
460.23	2024-05-08 23:45:03
460.28	2024-05-08 23:50:02
461.95	2024-05-08 23:55:01
460.81	2024-05-09 00:00:02
460.05	2024-05-09 00:05:03
459.27	2024-05-09 00:10:02
458.47	2024-05-09 00:15:02
457.36	2024-05-09 00:20:02
458.73	2024-05-09 00:25:02
459.15	2024-05-09 00:30:02
459.35	2024-05-09 00:35:03
459.32	2024-05-09 00:40:02
458.40	2024-05-09 00:45:02
453.76	2024-05-09 00:50:02
454.91	2024-05-09 00:55:02
455.03	2024-05-09 01:00:02
456.46	2024-05-09 01:05:02
456.63	2024-05-09 01:10:02
461.68	2024-05-09 01:15:06
460.59	2024-05-09 01:20:02
459.25	2024-05-09 01:25:02
459.25	2024-05-09 01:30:01
459.09	2024-05-09 01:35:02
459.72	2024-05-09 01:40:02
459.91	2024-05-09 01:45:01
459.12	2024-05-09 01:50:02
459.18	2024-05-09 01:55:02
458.72	2024-05-09 02:00:02
458.79	2024-05-09 02:05:02
458.43	2024-05-09 02:10:06
458.36	2024-05-09 02:15:02
459.06	2024-05-09 02:20:01
459.91	2024-05-09 02:25:02
460.18	2024-05-09 02:30:01
460.48	2024-05-09 02:35:02
458.79	2024-05-09 02:40:03
460.38	2024-05-09 02:45:02
460.53	2024-05-09 02:50:03
460.43	2024-05-09 02:55:01
460.10	2024-05-09 03:00:02
459.48	2024-05-09 03:05:02
459.41	2024-05-09 03:10:03
460.33	2024-05-09 03:15:02
459.96	2024-05-09 03:20:02
458.28	2024-05-09 03:25:02
456.91	2024-05-09 03:30:01
456.09	2024-05-09 03:35:01
455.86	2024-05-09 03:40:02
456.19	2024-05-09 03:45:02
