rate	timestamp
594.11	2024-05-07 17:35:01
594.11	2024-05-07 17:40:02
594.11	2024-05-07 17:45:02
594.11	2024-05-07 17:50:01
594.11	2024-05-07 17:55:02
594.48	2024-05-07 18:00:03
594.09	2024-05-07 18:05:02
594.16	2024-05-07 18:10:01
592.93	2024-05-07 18:15:01
591.81	2024-05-07 18:20:03
592.78	2024-05-07 18:55:02
593.23	2024-05-07 19:00:02
593.30	2024-05-07 19:05:02
593.33	2024-05-07 19:10:02
593.58	2024-05-07 19:15:02
597.36	2024-05-07 19:20:02
599.42	2024-05-07 19:25:02
598.96	2024-05-07 19:30:02
597.42	2024-05-07 19:35:02
597.33	2024-05-07 19:40:02
595.95	2024-05-07 19:45:01
594.25	2024-05-07 19:50:02
593.45	2024-05-07 19:55:03
592.90	2024-05-07 20:00:02
593.01	2024-05-07 20:05:01
593.69	2024-05-07 20:10:02
594.12	2024-05-07 20:15:02
593.96	2024-05-07 20:20:02
593.66	2024-05-07 20:25:02
592.49	2024-05-07 20:30:02
592.40	2024-05-07 20:35:02
592.46	2024-05-07 20:40:02
592.52	2024-05-07 20:45:01
591.52	2024-05-07 20:50:02
592.52	2024-05-07 20:55:02
592.80	2024-05-07 21:00:01
592.60	2024-05-07 21:05:02
592.55	2024-05-07 21:10:02
592.78	2024-05-07 21:15:02
593.14	2024-05-07 21:20:02
593.74	2024-05-07 21:25:02
592.80	2024-05-07 21:30:02
592.03	2024-05-07 21:35:06
592.70	2024-05-07 21:40:02
592.23	2024-05-07 21:45:02
591.90	2024-05-07 21:50:02
591.62	2024-05-07 21:55:02
590.50	2024-05-07 22:00:01
590.36	2024-05-07 22:05:02
590.32	2024-05-07 22:10:02
590.09	2024-05-07 22:15:07
590.42	2024-05-07 22:20:02
590.68	2024-05-07 22:25:02
590.37	2024-05-07 22:30:02
590.17	2024-05-07 22:35:02
589.59	2024-05-07 22:40:02
589.62	2024-05-07 22:45:02
590.52	2024-05-07 22:50:02
590.87	2024-05-07 22:55:05
593.48	2024-05-07 23:00:03
594.85	2024-05-07 23:05:04
595.55	2024-05-07 23:10:05
593.53	2024-05-07 23:15:02
593.27	2024-05-07 23:20:03
593.09	2024-05-07 23:25:09
592.64	2024-05-07 23:30:03
593.37	2024-05-07 23:35:13
592.47	2024-05-07 23:40:05
593.15	2024-05-07 23:45:23
593.77	2024-05-07 23:50:02
594.59	2024-05-07 23:55:02
594.33	2024-05-08 00:00:02
594.28	2024-05-08 00:05:02
594.58	2024-05-08 00:10:02
595.14	2024-05-08 00:15:02
595.31	2024-05-08 00:20:03
594.33	2024-05-08 00:25:05
593.73	2024-05-08 00:30:02
593.65	2024-05-08 00:35:05
592.89	2024-05-08 00:40:02
593.26	2024-05-08 00:45:02
593.53	2024-05-08 00:50:02
593.61	2024-05-08 00:55:05
594.00	2024-05-08 01:00:02
593.84	2024-05-08 01:05:02
593.38	2024-05-08 01:10:02
592.52	2024-05-08 01:15:01
593.42	2024-05-08 01:20:02
593.18	2024-05-08 01:25:01
592.99	2024-05-08 01:30:02
592.95	2024-05-08 01:35:02
592.93	2024-05-08 01:40:04
593.35	2024-05-08 01:45:02
