rate	timestamp
13.86	2024-05-08 18:25:02
13.87	2024-05-08 18:30:02
13.88	2024-05-08 18:35:02
13.89	2024-05-08 18:40:02
13.88	2024-05-08 18:45:01
13.87	2024-05-08 18:50:01
13.87	2024-05-08 18:55:02
13.89	2024-05-08 19:00:02
13.89	2024-05-08 19:05:02
13.88	2024-05-08 19:10:02
13.88	2024-05-08 19:15:01
13.83	2024-05-08 19:20:02
13.83	2024-05-08 19:25:01
13.79	2024-05-08 19:30:02
13.79	2024-05-08 19:35:02
13.78	2024-05-08 19:40:03
13.77	2024-05-08 19:45:02
13.81	2024-05-08 19:50:02
13.81	2024-05-08 19:55:02
13.83	2024-05-08 20:00:03
13.81	2024-05-08 20:05:02
13.79	2024-05-08 20:10:02
13.83	2024-05-08 20:15:02
13.83	2024-05-08 20:20:02
13.81	2024-05-08 20:25:03
13.78	2024-05-08 20:30:02
13.79	2024-05-08 20:35:02
13.79	2024-05-08 20:40:04
13.74	2024-05-08 20:45:02
13.73	2024-05-08 20:50:02
13.73	2024-05-08 20:55:02
13.73	2024-05-08 21:00:02
13.74	2024-05-08 21:05:01
13.77	2024-05-08 21:10:03
13.75	2024-05-08 21:15:02
13.78	2024-05-08 21:20:02
13.84	2024-05-08 21:25:02
13.85	2024-05-08 21:30:03
13.85	2024-05-08 21:35:03
13.85	2024-05-08 21:40:01
13.85	2024-05-08 21:45:02
13.86	2024-05-08 21:50:02
13.86	2024-05-08 21:55:02
13.92	2024-05-08 22:00:02
13.97	2024-05-08 22:05:01
13.98	2024-05-08 22:10:02
13.99	2024-05-08 22:15:03
13.98	2024-05-08 22:20:02
13.93	2024-05-08 22:25:02
13.98	2024-05-08 22:30:01
13.97	2024-05-08 22:35:02
13.97	2024-05-08 22:40:04
14.00	2024-05-08 22:45:02
14.05	2024-05-08 22:50:01
14.06	2024-05-08 22:55:02
14.05	2024-05-08 23:00:02
14.06	2024-05-08 23:05:01
14.06	2024-05-08 23:10:02
14.08	2024-05-08 23:15:02
14.01	2024-05-08 23:20:02
13.99	2024-05-08 23:25:02
13.94	2024-05-08 23:30:02
13.90	2024-05-08 23:35:03
13.93	2024-05-08 23:40:02
13.95	2024-05-08 23:45:03
13.96	2024-05-08 23:50:02
13.91	2024-05-08 23:55:02
14.05	2024-05-09 00:00:02
14.00	2024-05-09 00:05:02
14.00	2024-05-09 00:10:02
13.96	2024-05-09 00:15:07
13.94	2024-05-09 00:20:01
13.94	2024-05-09 00:25:02
13.97	2024-05-09 00:30:02
13.97	2024-05-09 00:35:02
13.94	2024-05-09 00:40:02
13.96	2024-05-09 00:45:02
13.96	2024-05-09 00:50:03
13.96	2024-05-09 00:55:03
13.96	2024-05-09 01:00:02
13.97	2024-05-09 01:05:02
13.99	2024-05-09 01:10:02
13.99	2024-05-09 01:15:02
14.04	2024-05-09 01:20:02
14.01	2024-05-09 01:25:02
13.99	2024-05-09 01:30:01
13.99	2024-05-09 01:35:02
13.99	2024-05-09 01:40:02
14.00	2024-05-09 01:45:01
13.98	2024-05-09 01:50:02
13.96	2024-05-09 01:55:02
13.98	2024-05-09 02:00:13
13.98	2024-05-09 02:05:01
13.99	2024-05-09 02:10:02
14.00	2024-05-09 02:15:03
14.00	2024-05-09 02:20:01
14.02	2024-05-09 02:25:02
14.03	2024-05-09 02:30:06
14.05	2024-05-09 02:35:03
14.04	2024-05-09 02:40:03
14.04	2024-05-09 02:45:03
14.04	2024-05-09 02:50:02
14.04	2024-05-09 02:55:01
14.03	2024-05-09 03:00:02
14.01	2024-05-09 03:05:02
14.01	2024-05-09 03:10:03
14.01	2024-05-09 03:15:01
14.01	2024-05-09 03:20:02
13.99	2024-05-09 03:25:02
13.94	2024-05-09 03:30:02
13.89	2024-05-09 03:35:02
13.91	2024-05-09 03:40:03
13.95	2024-05-09 03:45:02
13.95	2024-05-09 03:50:02
14.08	2024-05-09 03:55:02
14.05	2024-05-09 04:00:01
13.98	2024-05-09 04:05:02
13.98	2024-05-09 04:10:02
13.95	2024-05-09 04:15:01
13.92	2024-05-09 04:20:07
13.81	2024-05-09 04:25:02
13.81	2024-05-09 04:30:02
13.79	2024-05-09 04:35:02
13.78	2024-05-09 04:40:02
13.80	2024-05-09 04:45:02
13.82	2024-05-09 04:50:02
13.79	2024-05-09 04:55:02
13.78	2024-05-09 05:00:02
13.79	2024-05-09 05:05:01
13.79	2024-05-09 05:10:03
13.79	2024-05-09 05:15:02
13.77	2024-05-09 05:20:03
13.76	2024-05-09 05:25:03
13.76	2024-05-09 05:30:02
13.77	2024-05-09 05:35:02
13.86	2024-05-09 05:40:02
13.85	2024-05-09 05:45:02
13.88	2024-05-09 05:50:01
13.88	2024-05-09 05:55:02
13.86	2024-05-09 06:00:03
13.83	2024-05-09 06:05:01
13.83	2024-05-09 06:10:02
13.83	2024-05-09 06:15:01
13.78	2024-05-09 06:20:02
13.78	2024-05-09 06:25:02
13.80	2024-05-09 06:30:01
13.80	2024-05-09 06:35:02
13.80	2024-05-09 06:40:02
13.88	2024-05-09 06:45:02
13.85	2024-05-09 06:50:02
13.85	2024-05-09 06:55:02
13.88	2024-05-09 07:00:02
13.87	2024-05-09 07:05:02
13.87	2024-05-09 07:10:02
13.87	2024-05-09 07:15:02
13.91	2024-05-09 07:20:02
13.90	2024-05-09 07:25:02
13.88	2024-05-09 07:30:02
13.87	2024-05-09 07:35:02
13.87	2024-05-09 07:40:01
13.86	2024-05-09 07:45:02
13.86	2024-05-09 07:50:02
13.89	2024-05-09 07:55:02
13.91	2024-05-09 08:00:02
13.90	2024-05-09 08:05:02
13.91	2024-05-09 08:10:02
13.93	2024-05-09 08:15:01
13.93	2024-05-09 08:20:02
13.94	2024-05-09 08:25:02
13.95	2024-05-09 08:30:01
13.99	2024-05-09 08:35:02
14.03	2024-05-09 08:40:02
14.03	2024-05-09 08:45:01
14.05	2024-05-09 08:50:03
14.04	2024-05-09 08:55:02
14.04	2024-05-09 09:00:02
14.05	2024-05-09 09:05:01
14.05	2024-05-09 09:10:01
14.06	2024-05-09 09:15:07
14.06	2024-05-09 09:20:04
14.06	2024-05-09 09:25:01
14.04	2024-05-09 09:30:07
14.02	2024-05-09 09:35:03
14.02	2024-05-09 09:40:02
14.06	2024-05-09 09:45:02
14.05	2024-05-09 09:50:02
14.03	2024-05-09 09:55:02
14.05	2024-05-09 10:00:02
14.05	2024-05-09 10:05:01
14.05	2024-05-09 10:10:02
14.05	2024-05-09 10:15:03
14.03	2024-05-09 10:20:03
14.03	2024-05-09 10:25:01
14.03	2024-05-09 10:30:02
14.05	2024-05-09 10:35:02
14.04	2024-05-09 10:40:02
14.04	2024-05-09 10:45:02
14.04	2024-05-09 10:50:02
14.05	2024-05-09 10:55:01
14.04	2024-05-09 11:00:02
14.03	2024-05-09 11:05:02
14.02	2024-05-09 11:10:02
14.03	2024-05-09 11:15:01
14.01	2024-05-09 11:20:01
13.99	2024-05-09 11:25:02
13.97	2024-05-09 11:30:02
14.03	2024-05-09 11:35:01
13.98	2024-05-09 11:40:01
14.02	2024-05-09 11:45:02
14.01	2024-05-09 11:50:02
14.00	2024-05-09 11:55:02
14.00	2024-05-09 12:00:01
14.00	2024-05-09 12:05:01
13.99	2024-05-09 12:10:01
14.00	2024-05-09 12:15:02
14.01	2024-05-09 12:20:02
14.00	2024-05-09 12:25:02
14.00	2024-05-09 12:30:02
14.00	2024-05-09 12:35:03
13.97	2024-05-09 12:40:02
13.98	2024-05-09 12:45:03
13.97	2024-05-09 12:50:02
13.97	2024-05-09 12:55:02
13.96	2024-05-09 13:00:02
13.95	2024-05-09 13:05:02
13.95	2024-05-09 13:10:03
13.95	2024-05-09 13:15:04
13.96	2024-05-09 13:20:02
13.97	2024-05-09 13:25:02
13.97	2024-05-09 13:30:02
14.02	2024-05-09 15:00:03
14.04	2024-05-09 15:00:01
14.04	2024-05-09 15:05:01
14.05	2024-05-09 15:10:02
14.04	2024-05-09 15:15:02
14.04	2024-05-09 15:20:02
14.03	2024-05-09 15:25:04
14.02	2024-05-09 15:30:02
14.00	2024-05-09 15:35:02
13.99	2024-05-09 15:40:02
14.00	2024-05-09 15:45:02
13.99	2024-05-09 15:50:01
13.95	2024-05-09 15:55:02
13.95	2024-05-09 16:00:01
13.92	2024-05-09 16:05:01
14.06	2024-05-09 16:10:03
14.06	2024-05-09 16:15:02
14.02	2024-05-09 16:20:01
14.01	2024-05-09 16:25:02
14.04	2024-05-09 16:30:02
14.06	2024-05-09 16:35:01
14.07	2024-05-09 16:40:02
14.15	2024-05-09 16:45:02
14.15	2024-05-09 16:50:02
14.16	2024-05-09 16:55:01
14.14	2024-05-09 17:00:02
14.15	2024-05-09 17:05:02
14.19	2024-05-09 17:10:01
14.19	2024-05-09 17:15:02
14.17	2024-05-09 17:20:02
14.16	2024-05-09 17:25:03
14.13	2024-05-09 17:30:02
14.14	2024-05-09 17:35:02
14.15	2024-05-09 17:40:03
14.10	2024-05-09 17:45:02
14.08	2024-05-09 17:50:02
14.07	2024-05-09 17:55:01
14.07	2024-05-09 18:00:03
14.08	2024-05-09 18:05:02
14.08	2024-05-09 18:10:02
