rate	timestamp
3081.88	2024-05-07 16:19:15
3081.88	2024-05-07 16:20:01
3083.39	2024-05-07 16:21:02
3083.39	2024-05-07 16:22:01
3083.39	2024-05-07 16:23:01
3083.39	2024-05-07 16:24:01
3083.39	2024-05-07 16:25:02
3108.74	2024-05-07 16:30:01
3108.74	2024-05-07 16:35:01
3113.54	2024-05-07 16:40:01
3116.31	2024-05-07 16:45:02
3116.31	2024-05-07 16:50:01
3121.56	2024-05-07 16:55:02
3121.56	2024-05-07 17:00:01
3118.04	2024-05-07 17:05:01
3121.90	2024-05-07 17:10:02
3121.98	2024-05-07 17:15:01
3122.42	2024-05-07 17:20:02
3123.26	2024-05-07 17:25:01
3123.26	2024-05-07 17:30:02
3123.26	2024-05-07 17:35:01
3118.56	2024-05-07 17:40:02
3117.45	2024-05-07 17:45:02
3117.45	2024-05-07 17:50:01
3117.39	2024-05-07 17:55:01
3112.82	2024-05-07 18:00:03
3112.93	2024-05-07 18:05:02
3113.33	2024-05-07 18:10:01
3107.61	2024-05-07 18:15:01
3099.41	2024-05-07 18:20:02
3099.72	2024-05-07 18:55:02
3102.97	2024-05-07 19:00:02
3100.13	2024-05-07 19:05:02
3100.44	2024-05-07 19:10:02
3099.30	2024-05-07 19:15:02
3102.80	2024-05-07 19:20:02
3103.53	2024-05-07 19:25:02
3096.59	2024-05-07 19:30:03
3096.17	2024-05-07 19:35:02
3094.80	2024-05-07 19:40:02
3087.46	2024-05-07 19:45:02
3069.74	2024-05-07 19:50:02
3067.97	2024-05-07 19:55:02
3066.12	2024-05-07 20:00:02
3066.85	2024-05-07 20:05:01
3067.27	2024-05-07 20:10:02
3071.53	2024-05-07 20:15:02
3071.55	2024-05-07 20:20:02
3071.70	2024-05-07 20:25:02
3066.99	2024-05-07 20:30:01
3071.16	2024-05-07 20:35:02
3074.40	2024-05-07 20:40:02
3071.86	2024-05-07 20:45:01
3075.32	2024-05-07 20:50:02
3081.27	2024-05-07 20:55:04
3077.66	2024-05-07 21:00:01
3076.86	2024-05-07 21:05:05
3073.29	2024-05-07 21:10:02
3071.90	2024-05-07 21:15:03
3077.95	2024-05-07 21:20:02
3080.91	2024-05-07 21:25:02
3070.95	2024-05-07 21:30:02
3075.76	2024-05-07 21:35:03
3074.57	2024-05-07 21:40:02
3070.27	2024-05-07 21:45:02
3074.25	2024-05-07 21:50:03
3057.59	2024-05-07 21:55:02
3062.53	2024-05-07 22:00:01
3061.48	2024-05-07 22:05:02
3065.56	2024-05-07 22:10:06
3064.76	2024-05-07 22:15:02
3064.37	2024-05-07 22:20:07
3066.61	2024-05-07 22:25:02
3058.79	2024-05-07 22:30:02
3058.05	2024-05-07 22:35:02
3047.58	2024-05-07 22:40:01
3054.21	2024-05-07 22:45:02
3066.79	2024-05-07 22:50:07
3070.67	2024-05-07 22:55:05
3083.16	2024-05-07 23:00:03
3091.15	2024-05-07 23:05:04
3093.48	2024-05-07 23:10:02
3085.23	2024-05-07 23:15:02
3082.59	2024-05-07 23:20:02
3076.84	2024-05-07 23:25:05
3077.42	2024-05-07 23:30:03
3082.05	2024-05-07 23:35:12
3071.35	2024-05-07 23:40:05
3071.94	2024-05-07 23:45:24
3074.25	2024-05-07 23:50:03
3074.91	2024-05-07 23:55:02
3074.61	2024-05-08 00:00:02
3071.37	2024-05-08 00:05:02
3075.15	2024-05-08 00:10:02
3076.59	2024-05-08 00:15:02
3076.57	2024-05-08 00:20:03
3073.28	2024-05-08 00:25:06
3073.73	2024-05-08 00:30:02
3071.45	2024-05-08 00:35:05
3063.80	2024-05-08 00:40:02
3066.11	2024-05-08 00:45:02
3069.82	2024-05-08 00:50:02
3067.53	2024-05-08 00:55:03
3069.60	2024-05-08 01:00:02
3068.76	2024-05-08 01:05:04
3064.90	2024-05-08 01:10:02
3062.86	2024-05-08 01:15:06
3066.56	2024-05-08 01:20:02
3067.14	2024-05-08 01:25:01
3066.56	2024-05-08 01:30:02
3063.68	2024-05-08 01:35:02
3062.60	2024-05-08 01:40:04
3064.16	2024-05-08 01:45:07
3064.71	2024-05-08 01:50:01
3061.41	2024-05-08 01:55:02
3057.51	2024-05-08 02:00:02
3058.81	2024-05-08 02:05:03
3056.63	2024-05-08 02:10:02
3055.02	2024-05-08 02:15:02
3052.33	2024-05-08 02:20:01
3046.82	2024-05-08 02:25:01
3048.37	2024-05-08 02:30:02
3043.57	2024-05-08 02:35:01
3038.95	2024-05-08 02:40:01
3033.68	2024-05-08 02:45:02
3036.07	2024-05-08 02:50:03
3042.57	2024-05-08 02:55:01
3046.58	2024-05-08 03:00:02
3047.53	2024-05-08 03:05:02
3049.94	2024-05-08 03:10:04
3049.47	2024-05-08 03:15:01
3049.13	2024-05-08 03:20:02
3049.93	2024-05-08 03:25:03
3051.19	2024-05-08 03:30:03
3051.41	2024-05-08 03:35:01
3052.87	2024-05-08 03:40:02
3053.96	2024-05-08 03:45:01
3051.73	2024-05-08 03:50:02
3052.43	2024-05-08 03:55:02
3050.51	2024-05-08 04:00:02
3049.38	2024-05-08 04:05:01
3052.42	2024-05-08 04:10:02
3054.17	2024-05-08 04:15:04
3054.07	2024-05-08 04:20:02
3056.05	2024-05-08 04:25:02
3055.30	2024-05-08 04:30:02
3053.85	2024-05-08 04:35:03
3049.01	2024-05-08 04:40:02
3052.71	2024-05-08 04:45:03
3056.36	2024-05-08 04:50:02
3049.62	2024-05-08 04:55:04
3050.82	2024-05-08 05:00:01
3049.41	2024-05-08 05:05:02
3051.18	2024-05-08 05:10:05
3054.54	2024-05-08 05:15:02
