rate	timestamp
81.35	2024-05-07 17:35:01
81.35	2024-05-07 17:40:02
81.35	2024-05-07 17:45:02
81.35	2024-05-07 17:50:01
81.35	2024-05-07 17:55:01
81.51	2024-05-07 18:00:02
81.44	2024-05-07 18:05:04
81.44	2024-05-07 18:10:02
81.46	2024-05-07 18:15:03
81.35	2024-05-07 18:20:02
81.43	2024-05-07 18:55:02
81.57	2024-05-07 19:00:02
81.61	2024-05-07 19:05:03
81.61	2024-05-07 19:10:02
81.59	2024-05-07 19:15:02
81.56	2024-05-07 19:20:02
81.63	2024-05-07 19:25:02
81.63	2024-05-07 19:30:02
81.67	2024-05-07 19:35:02
81.68	2024-05-07 19:40:02
81.69	2024-05-07 19:45:01
81.55	2024-05-07 19:50:02
81.26	2024-05-07 19:55:03
81.26	2024-05-07 20:00:03
81.25	2024-05-07 20:05:01
81.30	2024-05-07 20:10:02
81.30	2024-05-07 20:15:02
81.30	2024-05-07 20:20:02
81.37	2024-05-07 20:25:02
81.30	2024-05-07 20:30:01
81.30	2024-05-07 20:35:02
81.42	2024-05-07 20:40:02
81.74	2024-05-07 20:45:01
81.78	2024-05-07 20:50:02
81.84	2024-05-07 20:55:02
81.89	2024-05-07 21:00:06
81.81	2024-05-07 21:05:02
81.79	2024-05-07 21:10:02
81.81	2024-05-07 21:15:02
81.80	2024-05-07 21:20:02
81.81	2024-05-07 21:25:02
81.82	2024-05-07 21:30:02
81.81	2024-05-07 21:35:02
81.89	2024-05-07 21:40:03
81.87	2024-05-07 21:45:02
81.94	2024-05-07 21:50:02
81.70	2024-05-07 21:55:02
81.70	2024-05-07 22:00:01
81.91	2024-05-07 22:05:02
81.90	2024-05-07 22:10:02
82.17	2024-05-07 22:15:02
82.31	2024-05-07 22:20:03
82.31	2024-05-07 22:25:02
82.10	2024-05-07 22:30:02
82.10	2024-05-07 22:35:01
81.77	2024-05-07 22:40:02
81.73	2024-05-07 22:45:02
81.93	2024-05-07 22:50:02
81.96	2024-05-07 22:55:04
81.95	2024-05-07 23:00:02
82.03	2024-05-07 23:05:03
82.23	2024-05-07 23:10:05
82.22	2024-05-07 23:15:02
82.06	2024-05-07 23:20:02
82.02	2024-05-07 23:25:05
82.05	2024-05-07 23:30:03
82.04	2024-05-07 23:35:12
82.11	2024-05-07 23:40:05
82.13	2024-05-07 23:45:24
82.01	2024-05-07 23:50:03
82.01	2024-05-07 23:55:02
82.09	2024-05-08 00:00:02
82.07	2024-05-08 00:05:06
81.99	2024-05-08 00:10:07
82.06	2024-05-08 00:15:01
82.04	2024-05-08 00:20:03
82.04	2024-05-08 00:25:05
82.02	2024-05-08 00:30:02
82.00	2024-05-08 00:35:05
81.94	2024-05-08 00:40:02
81.86	2024-05-08 00:45:07
81.88	2024-05-08 00:50:02
81.87	2024-05-08 00:55:04
81.87	2024-05-08 01:00:02
81.97	2024-05-08 01:05:07
81.98	2024-05-08 01:10:07
81.98	2024-05-08 01:15:01
81.96	2024-05-08 01:20:02
81.99	2024-05-08 01:25:01
82.01	2024-05-08 01:30:02
82.03	2024-05-08 01:35:02
82.17	2024-05-08 01:40:03
82.20	2024-05-08 01:45:02
82.24	2024-05-08 01:50:01
82.23	2024-05-08 01:55:02
82.24	2024-05-08 02:00:02
82.13	2024-05-08 02:05:04
82.09	2024-05-08 02:10:02
82.12	2024-05-08 02:15:02
82.09	2024-05-08 02:20:01
82.05	2024-05-08 02:25:01
82.11	2024-05-08 02:30:02
82.13	2024-05-08 02:35:03
82.13	2024-05-08 02:40:01
81.69	2024-05-08 02:45:03
81.79	2024-05-08 02:50:02
81.85	2024-05-08 02:55:01
81.99	2024-05-08 03:00:02
81.99	2024-05-08 03:05:02
82.22	2024-05-08 03:10:03
82.24	2024-05-08 03:15:01
82.20	2024-05-08 03:20:02
82.19	2024-05-08 03:25:04
82.20	2024-05-08 03:30:03
82.20	2024-05-08 03:35:02
82.20	2024-05-08 03:40:02
82.37	2024-05-08 03:45:01
82.43	2024-05-08 03:50:03
82.48	2024-05-08 03:55:02
82.45	2024-05-08 04:00:02
82.41	2024-05-08 04:05:02
82.22	2024-05-08 04:10:03
82.15	2024-05-08 04:15:02
82.18	2024-05-08 04:20:02
82.16	2024-05-08 04:25:03
82.08	2024-05-08 04:30:01
82.00	2024-05-08 04:35:03
81.90	2024-05-08 04:40:02
