rate	timestamp
7.02	2024-05-08 18:25:02
7.03	2024-05-08 18:30:02
7.04	2024-05-08 18:35:02
7.04	2024-05-08 18:40:02
7.04	2024-05-08 18:45:02
7.04	2024-05-08 18:50:01
7.02	2024-05-08 18:55:02
7.02	2024-05-08 19:00:02
7.02	2024-05-08 19:05:02
7.02	2024-05-08 19:10:02
7.01	2024-05-08 19:15:02
6.98	2024-05-08 19:20:02
6.98	2024-05-08 19:25:02
6.97	2024-05-08 19:30:01
6.96	2024-05-08 19:35:02
6.95	2024-05-08 19:40:03
6.95	2024-05-08 19:45:01
6.96	2024-05-08 19:50:03
6.96	2024-05-08 19:55:02
6.97	2024-05-08 20:00:02
6.96	2024-05-08 20:05:02
6.96	2024-05-08 20:10:02
6.98	2024-05-08 20:15:02
6.98	2024-05-08 20:20:02
6.98	2024-05-08 20:25:03
6.95	2024-05-08 20:30:02
6.96	2024-05-08 20:35:02
6.96	2024-05-08 20:40:02
6.95	2024-05-08 20:45:02
6.92	2024-05-08 20:50:01
6.92	2024-05-08 20:55:02
6.91	2024-05-08 21:00:01
6.93	2024-05-08 21:05:02
6.94	2024-05-08 21:10:01
6.93	2024-05-08 21:15:02
6.94	2024-05-08 21:20:01
6.95	2024-05-08 21:25:02
6.98	2024-05-08 21:30:02
6.97	2024-05-08 21:35:01
6.96	2024-05-08 21:40:02
6.98	2024-05-08 21:45:02
6.98	2024-05-08 21:50:01
7.02	2024-05-08 21:55:02
7.03	2024-05-08 22:00:03
7.06	2024-05-08 22:05:01
7.06	2024-05-08 22:10:02
7.06	2024-05-08 22:15:02
7.08	2024-05-08 22:20:02
7.07	2024-05-08 22:25:02
7.07	2024-05-08 22:30:02
7.08	2024-05-08 22:35:02
7.07	2024-05-08 22:40:02
7.10	2024-05-08 22:45:03
7.14	2024-05-08 22:50:01
7.13	2024-05-08 22:55:03
7.13	2024-05-08 23:00:03
7.14	2024-05-08 23:05:01
7.14	2024-05-08 23:10:01
7.15	2024-05-08 23:15:07
7.14	2024-05-08 23:20:02
7.10	2024-05-08 23:25:02
7.06	2024-05-08 23:30:02
7.06	2024-05-08 23:35:02
7.08	2024-05-08 23:40:02
7.11	2024-05-08 23:45:03
7.11	2024-05-08 23:50:02
7.14	2024-05-08 23:55:02
7.18	2024-05-09 00:00:02
7.17	2024-05-09 00:05:02
7.17	2024-05-09 00:10:02
7.14	2024-05-09 00:15:02
7.09	2024-05-09 00:20:02
7.10	2024-05-09 00:25:02
7.12	2024-05-09 00:30:02
7.14	2024-05-09 00:35:01
7.14	2024-05-09 00:40:02
7.13	2024-05-09 00:45:02
7.11	2024-05-09 00:50:02
7.11	2024-05-09 00:55:02
7.10	2024-05-09 01:00:02
7.12	2024-05-09 01:05:01
7.14	2024-05-09 01:10:02
7.16	2024-05-09 01:15:02
7.14	2024-05-09 01:20:02
7.13	2024-05-09 01:25:07
7.10	2024-05-09 01:30:02
7.11	2024-05-09 01:35:02
7.11	2024-05-09 01:40:02
7.10	2024-05-09 01:45:01
7.08	2024-05-09 01:50:02
7.08	2024-05-09 01:55:02
7.08	2024-05-09 02:00:02
7.09	2024-05-09 02:05:01
7.09	2024-05-09 02:10:02
7.09	2024-05-09 02:15:02
7.09	2024-05-09 02:20:02
7.10	2024-05-09 02:25:02
