rate	timestamp
145.89	2024-05-08 18:25:03
145.95	2024-05-08 18:30:02
146.57	2024-05-08 18:35:03
146.63	2024-05-08 18:40:03
146.48	2024-05-08 18:45:02
146.28	2024-05-08 18:50:02
146.45	2024-05-08 18:55:03
146.58	2024-05-08 19:00:03
146.58	2024-05-08 19:05:03
146.58	2024-05-08 19:10:02
146.71	2024-05-08 19:15:03
146.02	2024-05-08 19:20:02
145.63	2024-05-08 19:25:01
145.67	2024-05-08 19:30:03
145.26	2024-05-08 19:35:02
145.28	2024-05-08 19:40:03
145.39	2024-05-08 19:45:04
145.69	2024-05-08 19:50:03
145.63	2024-05-08 19:55:03
145.44	2024-05-08 20:00:04
145.35	2024-05-08 20:05:02
145.52	2024-05-08 20:10:02
145.78	2024-05-08 20:15:02
146.00	2024-05-08 20:20:02
146.08	2024-05-08 20:25:03
145.93	2024-05-08 20:30:02
145.63	2024-05-08 20:35:02
145.69	2024-05-08 20:40:03
145.18	2024-05-08 20:45:03
144.77	2024-05-08 20:50:02
145.03	2024-05-08 20:55:03
145.03	2024-05-08 21:00:03
145.25	2024-05-08 21:05:02
145.47	2024-05-08 21:10:01
145.10	2024-05-08 21:15:02
145.58	2024-05-08 21:20:03
145.54	2024-05-08 21:25:02
146.39	2024-05-08 21:30:02
146.26	2024-05-08 21:35:02
145.79	2024-05-08 21:40:02
145.94	2024-05-08 21:45:02
146.26	2024-05-08 21:50:02
146.15	2024-05-08 21:55:02
146.91	2024-05-08 22:00:04
147.49	2024-05-08 22:05:02
147.57	2024-05-08 22:10:03
147.57	2024-05-08 22:15:02
147.44	2024-05-08 22:20:02
147.17	2024-05-08 22:25:03
147.43	2024-05-08 22:30:04
147.95	2024-05-08 22:35:02
147.95	2024-05-08 22:40:03
147.85	2024-05-08 22:45:02
147.96	2024-05-08 22:50:02
148.37	2024-05-08 22:55:02
148.20	2024-05-08 23:00:03
148.07	2024-05-08 23:05:02
147.91	2024-05-08 23:10:02
147.09	2024-05-08 23:15:02
146.33	2024-05-08 23:20:02
146.16	2024-05-08 23:25:04
145.62	2024-05-08 23:30:04
145.03	2024-05-08 23:35:02
145.45	2024-05-08 23:40:03
145.45	2024-05-08 23:45:03
145.60	2024-05-08 23:50:03
145.67	2024-05-08 23:55:02
146.01	2024-05-09 00:00:03
145.79	2024-05-09 00:05:02
145.50	2024-05-09 00:10:03
145.22	2024-05-09 00:15:02
144.94	2024-05-09 00:20:01
145.48	2024-05-09 00:25:03
145.80	2024-05-09 00:30:03
145.82	2024-05-09 00:35:03
145.77	2024-05-09 00:40:02
145.77	2024-05-09 00:45:02
145.61	2024-05-09 00:50:02
145.61	2024-05-09 00:55:02
145.69	2024-05-09 01:00:02
145.96	2024-05-09 01:05:02
145.69	2024-05-09 01:10:02
146.02	2024-05-09 01:15:01
146.42	2024-05-09 01:20:04
146.38	2024-05-09 01:25:02
146.41	2024-05-09 01:30:06
146.47	2024-05-09 01:35:03
146.76	2024-05-09 01:40:02
146.38	2024-05-09 01:45:03
146.19	2024-05-09 01:50:04
146.19	2024-05-09 01:55:02
146.33	2024-05-09 02:00:04
146.41	2024-05-09 02:05:02
146.41	2024-05-09 02:10:02
146.97	2024-05-09 02:15:04
146.97	2024-05-09 02:20:02
147.65	2024-05-09 02:25:03
147.67	2024-05-09 02:30:02
148.67	2024-05-09 02:35:03
148.15	2024-05-09 02:40:02
147.48	2024-05-09 02:45:03
147.78	2024-05-09 02:50:02
147.75	2024-05-09 02:55:04
147.56	2024-05-09 03:00:01
147.09	2024-05-09 03:05:03
147.09	2024-05-09 03:10:02
146.93	2024-05-09 03:15:02
146.83	2024-05-09 03:20:02
146.83	2024-05-09 03:25:01
146.10	2024-05-09 03:30:03
145.43	2024-05-09 03:35:01
145.49	2024-05-09 03:40:02
145.41	2024-05-09 03:45:03
145.90	2024-05-09 03:50:02
145.41	2024-05-09 03:55:02
145.41	2024-05-09 04:00:01
145.63	2024-05-09 04:05:03
145.49	2024-05-09 04:10:02
144.63	2024-05-09 04:15:02
144.63	2024-05-09 04:20:02
142.54	2024-05-09 04:25:03
142.52	2024-05-09 04:30:02
142.60	2024-05-09 04:35:03
142.60	2024-05-09 04:40:02
142.41	2024-05-09 04:45:02
142.40	2024-05-09 04:50:02
142.21	2024-05-09 04:55:03
141.64	2024-05-09 05:00:02
141.04	2024-05-09 05:05:03
141.05	2024-05-09 05:10:03
140.43	2024-05-09 05:15:07
140.59	2024-05-09 05:20:02
140.41	2024-05-09 05:25:02
141.07	2024-05-09 05:30:03
141.78	2024-05-09 05:35:03
141.71	2024-05-09 05:40:02
141.69	2024-05-09 05:45:02
141.69	2024-05-09 05:50:02
141.93	2024-05-09 05:55:03
141.49	2024-05-09 06:00:02
141.04	2024-05-09 06:05:03
141.04	2024-05-09 06:10:02
141.18	2024-05-09 06:15:02
140.83	2024-05-09 06:20:02
141.32	2024-05-09 06:25:03
141.81	2024-05-09 06:30:02
141.84	2024-05-09 06:35:03
141.84	2024-05-09 06:40:02
141.68	2024-05-09 06:45:03
141.68	2024-05-09 06:50:02
141.61	2024-05-09 06:55:03
141.54	2024-05-09 07:00:02
141.50	2024-05-09 07:05:02
141.46	2024-05-09 07:10:02
141.27	2024-05-09 07:15:02
141.70	2024-05-09 07:20:02
141.95	2024-05-09 07:25:01
141.63	2024-05-09 07:30:02
141.63	2024-05-09 07:35:06
141.72	2024-05-09 07:40:03
141.71	2024-05-09 07:45:03
141.91	2024-05-09 07:50:02
142.47	2024-05-09 07:55:03
142.47	2024-05-09 08:00:02
142.29	2024-05-09 08:05:03
142.11	2024-05-09 08:10:03
142.13	2024-05-09 08:15:01
142.02	2024-05-09 08:20:03
142.14	2024-05-09 08:25:08
142.47	2024-05-09 08:30:03
142.47	2024-05-09 08:35:02
142.77	2024-05-09 08:40:02
142.88	2024-05-09 08:45:02
143.49	2024-05-09 08:50:02
143.51	2024-05-09 08:55:02
143.45	2024-05-09 09:00:02
143.37	2024-05-09 09:05:02
143.42	2024-05-09 09:10:03
143.70	2024-05-09 09:15:04
143.69	2024-05-09 09:20:03
143.83	2024-05-09 09:25:02
143.83	2024-05-09 09:30:03
143.76	2024-05-09 09:35:02
143.91	2024-05-09 09:40:03
144.01	2024-05-09 09:45:02
143.91	2024-05-09 09:50:04
143.96	2024-05-09 09:55:02
144.10	2024-05-09 10:00:04
144.25	2024-05-09 10:05:02
144.25	2024-05-09 10:10:02
143.96	2024-05-09 10:15:02
143.91	2024-05-09 10:20:02
143.77	2024-05-09 10:25:03
143.77	2024-05-09 10:30:02
